Regional Economy,below the National Poverty Line,ADB Economy Code
Afghanistan,54.5,AFG
Armenia,24.8,ARM
Azerbaijan,5.5,AZE
Bangladesh,18.7,BAN
Bhutan,12.4,BHU
Brunei Darussalam,,BRU
Cambodia,17.8,CAM
"China, People's Republic of",,PRC
Cook Islands,,COO
Fiji,29.9,FIJ
Georgia,15.6,GEO
"Hong Kong, China",17.3,HKG
India,,IND
Indonesia,9.4,INO
Kazakhstan,5.2,KAZ
Kiribati,21.9,KIR
"Korea, Republic of",14.9,KOR
Kyrgyz Republic,33.2,KGZ
Lao People's Democratic Republic,18.3,LAO
Malaysia,6.2,MAL
Maldives,5.4,MLD
Marshall Islands,7.2,RMI
"Micronesia, Federated States of",,FSM
Mongolia,27.1,MON
Myanmar,24.8,MYA
Nauru,,NAU
Nepal,20.3,NEP
Niue,,NIU
Pakistan,21.9,PAK
Palau,,PAL
Papua New Guinea,37.5,PNG
Philippines,18.1,PHI
Samoa,21.9,SAM
Singapore,,SIN
Solomon Islands,,SOL
Sri Lanka,14.3,SRI
"Taipei,China",1.3,TAP
Tajikistan,26.3,TAJ
Thailand,5.4,THA
Timor-Leste,,TIM
Tonga,24,TON
Turkmenistan,,TKM
Tuvalu,,TUV
Uzbekistan,11,UZB
Vanuatu,15.9,VAN
Viet Nam,4.2,VIE