province,need,workload
 กระบี่,0.003642059,588.3333333
 กรุงเทพมหานคร,0,0
 กาญจนบุรี,0.021827094,3915.2
 กาฬสินธุ์,0.023332662,5590.5
 กำแพงเพชร,0.014410383,1675.5
 ขอนแก่น,0.01875052,2548.846154
 จันทบุรี,0.256453428,34347
 ฉะเชิงเทรา,0.240539815,44100.75
 ชลบุรี,0.176610334,20751.71429
 ชัยนาท,0.029454081,3064
 ชัยภูมิ,0.017492383,6422.666667
 ชุมพร,0.001719677,218
 เชียงราย,0.028829133,6229.5
 เชียงใหม่,0.032138785,3613
 ตรัง,0.037753477,5980.5
 ตราด,0.245243981,18451.66667
 ตาก,0.020648745,3631.5
 นครนายก,0.166727598,14441.66667
 นครปฐม,0.014135172,2619.4
 นครพนม,0.032981702,5843.5
 นครราชสีมา,0.018607889,4423.272727
 นครศรีธรรมราช,0.001110952,243
 นครสวรรค์,0.022662508,5720
 นนทบุรี,0.01360783,1124.125
 นราธิวาส,0.023727372,2805.714286
 น่าน,0.035064963,5478.666667
 บึงกาฬ,0.046119717,6424
 บุรีรัมย์,0.015360828,3997
 ปทุมธานี,0.020367956,1811.428571
 ประจวบคีรีขันธ์,0.02119805,1461.375
 ปราจีนบุรี                ,0.244031735,24508.4
 ปัตตานี,0.03450013,6420.25
 พระนครศรีอยุธยา,0.020869159,4293
 พะเยา,0.038853368,4393.5
 พังงา,0.003799721,336.6666667
 พัทลุง,0.03403596,3527.8
 พิจิตร,0.025783069,4415.333333
 พิษณุโลก,0.020438964,1709.1
 เพชรบุรี,0.019325268,1559.333333
 เพชรบูรณ์,0.014694077,3510
 แพร่,0.027449462,3827.333333
 ภูเก็ต,0.002486762,215
 มหาสารคาม,0.040979805,9477
 มุกดาหาร,0.052121985,6077.666667
 แม่ฮ่องสอน,0.044166202,4249.333333
 ยโสธร,0.011269522,1965.333333
 ยะลา,0.030899539,2146
 ร้อยเอ็ด,0.00742583,3145
 ระนอง,0.006604841,254.4
 ระยอง,0.18666501,18403
 ราชบุรี,0.020486152,2523.428571
 ลพบุรี,0.021958945,3169.8
 ลำปาง,0.03923255,3426.875
 ลำพูน,0.063263024,4168
 เลย,0.045328986,9517.666667
 ศรีสะเกษ,0.01443308,2964
 สกลนคร,0.034743222,9854.75
 สงขลา,0.024461709,3179.272727
 สตูล,0.049793592,5387.666667
 สมุทรปราการ,0.011989021,3318
 สมุทรสงคราม,0.02485098,1152.75
 สมุทรสาคร,0.012056694,1418.2
 สระแก้ว,0.240052736,44912.66667
 สระบุรี,0.026241107,2095.5
 สิงห์บุรี,0.023842542,1576
 สุโขทัย,0.026611627,3792.25
 สุพรรณบุรี,0.022908567,3126
 สุราษฎร์ธานี,0.002972786,290.8181818
 สุรินทร์,0.01395962,3784.4
 หนองคาย,0.034218812,2495.142857
 หนองบัวลำภู,0.050117028,8393.666667
 อ่างทอง,0.069248844,6169.333333
 อำนาจเจริญ,0.024263034,2999
 อุดรธานี,0.008937484,1729.125
 อุตรดิตถ์,0.022009563,1909.4
 อุทัยธานี,0.037110593,3949
 อุบลราชธานี,0.02432327,5042.111111